web-scraper-order,web-scraper-start-url,pincode
"1612799095-208","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562125"
"1612799095-217","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560085"
"1612799095-305","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560033"
"1612799095-147","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560070"
"1612799095-416","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560070"
"1612799095-178","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560049"
"1612799095-300","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560068"
"1612799095-299","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560011"
"1612799095-252","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560064"
"1612799095-296","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560001"
"1612799095-130","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560030"
"1612799095-244","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560066"
"1612799095-172","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560046"
"1612799095-169","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560079"
"1612799095-422","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560022"
"1612799095-261","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560011"
"1612799095-322","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560049"
"1612799095-408","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560091"
"1612799095-200","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560045"
"1612799095-221","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560013"
"1612799095-418","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560064"
"1612799095-371","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560004"
"1612799095-183","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560093"
"1612799095-269","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560084"
"1612799095-187","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560018"
"1612799095-331","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560096"
"1612799095-258","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560041"
"1612799095-403","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560040"
"1612799095-154","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560043"
"1612799095-321","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560054"
"1612799095-192","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562157"
"1612799095-139","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560003"
"1612799095-205","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560062"
"1612799095-417","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560078"
"1612799095-215","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560019"
"1612799095-405","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560017"
"1612799095-179","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560056"
"1612799095-380","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560084"
"1612799095-341","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560070"
"1612799095-206","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560037"
"1612799095-267","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560009"
"1612799095-399","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560001"
"1612799095-309","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560033"
"1612799095-259","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560070"
"1612799095-213","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560065"
"1612799095-235","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560048"
"1612799095-214","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560019"
"1612799095-191","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560097"
"1612799095-201","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560036"
"1612799095-274","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560015"
"1612799095-374","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560064"
"1612799095-348","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560032"
"1612799095-176","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560049"
"1612799095-254","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560014"
"1612799095-286","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560034"
"1612799095-195","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562130"
"1612799095-141","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562107"
"1612799095-311","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562106"
"1612799095-406","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560049"
"1612799095-386","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562130"
"1612799095-369","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560012"
"1612799095-266","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560079"
"1612799095-253","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560013"
"1612799095-316","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560049"
"1612799095-225","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560008"
"1612799095-288","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560077"
"1612799095-241","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560008"
"1612799095-327","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560067"
"1612799095-218","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560022"
"1612799095-373","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562106"
"1612799095-220","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560026"
"1612799095-352","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560010"
"1612799095-186","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560002"
"1612799095-340","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560032"
"1612799095-332","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560019"
"1612799095-310","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560037"
"1612799095-137","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562106"
"1612799095-248","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560010"
"1612799095-312","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560033"
"1612799095-379","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560034"
"1612799095-210","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560001"
"1612799095-351","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560010"
"1612799095-363","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560080"
"1612799095-302","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560048"
"1612799095-161","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560002"
"1612799095-138","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560045"
"1612799095-353","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560064"
"1612799095-153","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560085"
"1612799095-289","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560036"
"1612799095-245","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562106"
"1612799095-392","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560028"
"1612799095-263","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560066"
"1612799095-240","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560076"
"1612799095-329","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560073"
"1612799095-372","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560027"
"1612799095-242","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562157"
"1612799095-247","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560038"
"1612799095-180","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560068"
"1612799095-136","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562106"
"1612799095-190","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560053"
"1612799095-361","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560025"
"1612799095-324","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560099"
"1612799095-347","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560058"
"1612799095-227","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560102"
"1612799095-335","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560039"
"1612799095-222","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560087"
"1612799095-275","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560079"
"1612799095-294","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560037"
"1612799095-290","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560016"
"1612799095-336","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562107"
"1612799095-415","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562107"
"1612799095-238","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560030"
"1612799095-330","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560045"
"1612799095-281","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560034"
"1612799095-354","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560098"
"1612799095-365","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562106"
"1612799095-209","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560016"
"1612799095-272","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560067"
"1612799095-293","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560074"
"1612799095-234","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560068"
"1612799095-189","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560040"
"1612799095-283","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560092"
"1612799095-151","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560053"
"1612799095-413","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560066"
"1612799095-282","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560064"
"1612799095-233","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560001"
"1612799095-349","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560094"
"1612799095-173","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562106"
"1612799095-249","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560085"
"1612799095-150","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562149"
"1612799095-202","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560029"
"1612799095-421","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560022"
"1612799095-140","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560050"
"1612799095-355","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560001"
"1612799095-420","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560037"
"1612799095-303","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560086"
"1612799095-158","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560002"
"1612799095-393","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560056"
"1612799095-203","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562149"
"1612799095-307","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560003"
"1612799095-364","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560092"
"1612799095-144","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560026"
"1612799095-199","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560067"
"1612799095-359","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560016"
"1612799095-134","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560092"
"1612799095-334","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560001"
"1612799095-149","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560073"
"1612799095-292","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560078"
"1612799095-419","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560064"
"1612799095-350","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560010"
"1612799095-401","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560097"
"1612799095-412","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560064"
"1612799095-230","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562106"
"1612799095-394","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562106"
"1612799095-391","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560006"
"1612799095-171","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560103"
"1612799095-239","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562106"
"1612799095-342","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560003"
"1612799095-160","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560009"
"1612799095-135","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560024"
"1612799095-194","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562130"
"1612799095-325","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560087"
"1612799095-196","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560001"
"1612799095-370","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560020"
"1612799095-219","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560026"
"1612799095-398","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560045"
"1612799095-344","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560004"
"1612799095-402","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560040"
"1612799095-224","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560024"
"1612799095-385","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562157"
"1612799095-410","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560047"
"1612799095-404","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560078"
"1612799095-368","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562125"
"1612799095-174","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562157"
"1612799095-231","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560024"
"1612799095-298","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560054"
"1612799095-198","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560026"
"1612799095-132","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560007"
"1612799095-164","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560083"
"1612799095-396","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560052"
"1612799095-388","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560049"
"1612799095-381","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560050"
"1612799095-229","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562125"
"1612799095-387","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560029"
"1612799095-260","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560069"
"1612799095-156","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560017"
"1612799095-362","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560059"
"1612799095-197","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560050"
"1612799095-407","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560004"
"1612799095-237","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560085"
"1612799095-207","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560071"
"1612799095-304","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560001"
"1612799095-226","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560051"
"1612799095-280","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560098"
"1612799095-212","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560005"
"1612799095-326","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560017"
"1612799095-390","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560041"
"1612799095-216","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560021"
"1612799095-265","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560078"
"1612799095-185","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560064"
"1612799095-356","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560021"
"1612799095-414","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560027"
"1612799095-411","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560003"
"1612799095-395","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560087"
"1612799095-142","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560064"
"1612799095-251","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560006"
"1612799095-377","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560002"
"1612799095-243","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560094"
"1612799095-338","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560075"
"1612799095-250","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560078"
"1612799095-271","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560067"
"1612799095-343","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560087"
"1612799095-131","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560034"
"1612799095-383","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560061"
"1612799095-155","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562149"
"1612799095-145","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560086"
"1612799095-257","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560043"
"1612799095-256","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560015"
"1612799095-319","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560055"
"1612799095-284","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560062"
"1612799095-152","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560050"
"1612799095-315","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562107"
"1612799095-291","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562125"
"1612799095-357","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560066"
"1612799095-345","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560058"
"1612799095-306","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560056"
"1612799095-301","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560023"
"1612799095-313","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560054"
"1612799095-146","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560002"
"1612799095-367","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560027"
"1612799095-346","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560058"
"1612799095-188","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560018"
"1612799095-297","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560084"
"1612799095-389","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562106"
"1612799095-277","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562149"
"1612799095-181","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560001"
"1612799095-177","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562107"
"1612799095-287","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560095"
"1612799095-264","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562106"
"1612799095-175","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560010"
"1612799095-397","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560003"
"1612799095-339","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560021"
"1612799095-228","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560104"
"1612799095-328","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560072"
"1612799095-314","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560004"
"1612799095-409","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560018"
"1612799095-236","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560043"
"1612799095-148","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560064"
"1612799095-182","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560026"
"1612799095-165","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560076"
"1612799095-378","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560021"
"1612799095-270","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562130"
"1612799095-295","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560004"
"1612799095-376","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560008"
"1612799095-366","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560067"
"1612799095-211","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560100"
"1612799095-317","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560067"
"1612799095-318","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560076"
"1612799095-184","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560025"
"1612799095-276","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560067"
"1612799095-166","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560026"
"1612799095-246","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560038"
"1612799095-129","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560063"
"1612799095-400","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562157"
"1612799095-320","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560076"
"1612799095-382","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560009"
"1612799095-323","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560025"
"1612799095-268","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560020"
"1612799095-162","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560025"
"1612799095-333","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560002"
"1612799095-223","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560013"
"1612799095-278","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560096"
"1612799095-159","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560002"
"1612799095-308","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560055"
"1612799095-143","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560047"
"1612799095-193","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560061"
"1612799095-279","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560085"
"1612799095-232","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562106"
"1612799095-167","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560004"
"1612799095-360","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560037"
"1612799095-255","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560013"
"1612799095-168","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560002"
"1612799095-133","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560007"
"1612799095-358","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560045"
"1612799095-337","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560002"
"1612799095-262","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560005"
"1612799095-285","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560034"
"1612799095-375","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560042"
"1612799095-384","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560003"
"1612799095-170","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560086"
"1612799095-273","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560043"
"1612799095-204","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","562157"
"1612799095-163","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560001"
"1612799095-157","https://www.mapsofindia.com/pincode/india/karnataka/bangalore/","560001"
